City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
381,Payakumbuh,ID,82.29,overcast clouds,-0.2202,100.6308,Dalimo Homestay
383,Geraldton,AU,86.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
384,Phetchaburi,TH,78.91,overcast clouds,12.9667,99.5833,ไร่แม่คะเมยฮิลล์ แก่งกระจาน เพชรบุรี
385,Natal,BR,81.25,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
389,Cockburn Town,TC,76.98,clear sky,21.4612,-71.1419,Osprey Beach Hotel
404,Ambon,ID,77.14,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
405,Progreso,MX,75.31,clear sky,21.2833,-89.6667,Playa Linda Hotel
408,Sola,VU,82.8,overcast clouds,-13.8833,167.55,Leumerus Bungalows
414,Atambua,ID,75.43,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
417,Xai-Xai,MZ,81.37,clear sky,-25.0519,33.6442,Complexo da Familia
421,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
430,Gizo,SB,84.96,overcast clouds,-8.103,156.8419,Imagination Island
435,Srinivaspur,IN,81.61,scattered clouds,13.3333,78.2167,Anjaneya Temple
436,Bubaque,GW,75.2,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
438,Narasannapeta,IN,85.59,few clouds,18.4167,84.05,AVK events and catering
439,Gigmoto,PH,79.27,light rain,13.7796,124.39,Cj's Travellers Inn
444,Sapa,PH,80.42,overcast clouds,5.1544,120.3241,
445,Balabac,PH,82.76,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
448,Gambela,ET,84.58,broken clouds,8.25,34.5833,Solomon Debebe Hotel
450,Mount Gambier,AU,75.11,clear sky,-37.8333,140.7667,The Commodore
451,Barmer,IN,82.85,clear sky,25.75,71.3833,OYO 71911 Hotel Amber Palace
454,Dekar,BW,75.02,clear sky,-21.5333,21.9333,
457,Dhidhdhoo,MV,82.18,clear sky,6.8833,73.1,Dhidhoo beach
464,Acapulco,MX,77.52,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
477,Nicoya,CR,76.55,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
479,Marica,BR,78.85,overcast clouds,-22.9194,-42.8186,Marica Hills
480,Wewak,PG,77.63,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
490,Panna,IN,83.17,clear sky,24.7167,80.2,The Jewel of The Jungle
491,Barao De Melgaco,BR,75.72,few clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
493,Juba,SS,82.02,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
504,Hambantota,LK,89.94,scattered clouds,6.1241,81.1185,Bungalow 63
505,Phangnga,TH,89.71,scattered clouds,8.4509,98.5298,Sunimit Mansion
